Przestêpstwa bójka i pobicie wg jednostek podzia³u administracyjnego kraju - przestêpstwa stwierdzone, przestêpstwa wykryte, % wykrycia.;;;;;;;;;;;
;;;;;;;;;;;
Jednostka podzia³u administracyjnego;Rok;Przestêpstwa stwierdzone;Przestêpstwa wykryte;% wykrycia;;;;;;;
woj. podkarpackie;2010;549;425;77,0;;;;;;;
woj. podkarpackie;2009;627;467;74,4;;;;;;;
woj. podkarpackie;2008;635;460;72,1;;;;;;;
woj. podkarpackie;2007;692;529;76,2;;;;;;;
woj. podkarpackie;2006;627;458;72,9;;;;;;;
woj. podkarpackie;2005;620;473;76,2;;;;;;;
woj. podkarpackie;2004;588;449;76,1;;;;;;;
woj. podkarpackie;2003;627;516;82,0;;;;;;;
woj. podkarpackie;2002;574;479;83,3;;;;;;;
woj. podkarpackie;2001;531;441;82,9;;;;;;;
woj. podkarpackie;2000;645;531;82,2;;;;;;;
woj. podkarpackie;1999;538;430;79,8;;;;;;;
woj. podlaskie;2021;103;89;85,6;;;;;;;
woj. podlaskie;2020;128;111;86,7;;;;;;;
woj. podlaskie;2019;154;126;81,3;;;;;;;
woj. podlaskie;2018;175;127;72,6;;;;;;;
woj. podlaskie;2017;163;125;76,7;;;;;;;
woj. podlaskie;2016;179;139;77,7;;;;;;;
woj. podlaskie;2015;180;131;71,6;;;;;;;
woj. podlaskie;2014;272;204;75,0;;;;;;;
woj. podlaskie;2013;304;249;81,1;;;;;;;
woj. podlaskie;2012;370;305;82,0;;;;;;;
woj. podlaskie;2011;388;312;80,4;;;;;;;
woj. podlaskie;2010;398;311;77,9;;;;;;;
woj. podlaskie;2009;473;363;76,6;;;;;;;
woj. podlaskie;2008;549;426;77,2;;;;;;;
woj. podlaskie;2007;520;408;78,5;;;;;;;
woj. podlaskie;2006;564;443;78,4;;;;;;;
woj. podlaskie;2005;581;463;79,4;;;;;;;
woj. podlaskie;2004;646;509;78,5;;;;;;;
woj. podlaskie;2003;627;461;73,4;;;;;;;
woj. podlaskie;2002;630;526;83,5;;;;;;;
woj. podlaskie;2001;637;516;81,0;;;;;;;
woj. podlaskie;2000;643;522;81,2;;;;;;;
woj. podlaskie;1999;569;437;76,7;;;;;;;
woj. pomorskie;2021;122;91;74,0;;;;;;;
woj. pomorskie;2020;140;110;78,6;;;;;;;
woj. pomorskie;2019;202;158;78,2;;;;;;;
woj. pomorskie;2018;206;163;78,4;;;;;;;
woj. pomorskie;2017;240;177;72,8;;;;;;;
woj. pomorskie;2016;265;200;75,5;;;;;;;
woj. pomorskie;2015;212;145;68,4;;;;;;;
woj. pomorskie;2014;267;186;69,7;;;;;;;
woj. pomorskie;2013;416;321;76,8;;;;;;;
woj. pomorskie;2012;610;479;78,3;;;;;;;
woj. pomorskie;2011;609;494;81,0;;;;;;;
woj. pomorskie;2010;642;510;79,4;;;;;;;
woj. pomorskie;2009;731;567;77,5;;;;;;;
woj. pomorskie;2008;797;587;73,0;;;;;;;
woj. pomorskie;2007;724;536;73,9;;;;;;;
woj. pomorskie;2006;742;572;76,5;;;;;;;
woj. pomorskie;2005;695;523;74,8;;;;;;;
woj. pomorskie;2004;724;543;74,8;;;;;;;
woj. pomorskie;2003;631;437;69,0;;;;;;;
woj. pomorskie;2002;754;544;72,1;;;;;;;
woj. pomorskie;2001;803;574;71,5;;;;;;;
woj. pomorskie;2000;744;539;72,3;;;;;;;
woj. pomorskie;1999;644;451;69,9;;;;;;;
woj. œl¹skie;2021;338;286;83,9;;;;;;;
woj. œl¹skie;2020;392;305;77,8;;;;;;;
woj. œl¹skie;2019;538;421;78,1;;;;;;;
woj. œl¹skie;2018;601;469;77,9;;;;;;;
woj. œl¹skie;2017;643;515;79,8;;;;;;;
woj. œl¹skie;2016;687;510;74,2;;;;;;;
woj. œl¹skie;2015;711;520;72,8;;;;;;;
woj. œl¹skie;2014;880;650;73,2;;;;;;;
woj. œl¹skie;2013;1 810;1 509;83,0;;;;;;;
woj. œl¹skie;2012;2 122;1 746;82,0;;;;;;;
woj. œl¹skie;2011;2 255;1 836;81,3;;;;;;;
woj. œl¹skie;2010;1 832;1 384;75,3;;;;;;;
woj. œl¹skie;2009;2 059;1 535;74,4;;;;;;;
woj. œl¹skie;2008;2 340;1 753;74,6;;;;;;;
woj. œl¹skie;2007;2 183;1 627;74,4;;;;;;;
woj. œl¹skie;2006;2 170;1 599;73,5;;;;;;;
woj. œl¹skie;2005;1 955;1 445;73,5;;;;;;;
woj. œl¹skie;2004;1 942;1 327;68,1;;;;;;;
woj. œl¹skie;2003;1 772;1 178;66,2;;;;;;;
woj. œl¹skie;2002;1 842;1 282;69,3;;;;;;;
woj. œl¹skie;2001;1 841;1 287;69,6;;;;;;;
woj. œl¹skie;2000;1 745;1 246;71,1;;;;;;;
woj. œl¹skie;1999;1 639;1 209;73,4;;;;;;;
woj. œwiêtokrzyskie;2021;88;76;85,4;;;;;;;
woj. œwiêtokrzyskie;2020;97;76;77,6;;;;;;;
woj. œwiêtokrzyskie;2019;121;97;79,5;;;;;;;
woj. œwiêtokrzyskie;2018;116;97;83,6;;;;;;;
woj. œwiêtokrzyskie;2017;151;125;82,2;;;;;;;
woj. œwiêtokrzyskie;2016;170;137;80,6;;;;;;;
woj. œwiêtokrzyskie;2015;161;124;77,0;;;;;;;
woj. œwiêtokrzyskie;2014;217;171;78,4;;;;;;;
woj. œwiêtokrzyskie;2013;238;191;79,9;;;;;;;
woj. œwiêtokrzyskie;2012;346;289;83,3;;;;;;;
woj. œwiêtokrzyskie;2011;379;311;82,1;;;;;;;
woj. œwiêtokrzyskie;2010;380;310;80,5;;;;;;;
woj. œwiêtokrzyskie;2009;391;302;76,6;;;;;;;
woj. œwiêtokrzyskie;2008;505;403;79,8;;;;;;;
woj. œwiêtokrzyskie;2007;461;381;81,9;;;;;;;
woj. œwiêtokrzyskie;2006;458;363;79,1;;;;;;;
woj. œwiêtokrzyskie;2005;495;391;79,0;;;;;;;
woj. œwiêtokrzyskie;2004;532;404;75,7;;;;;;;
woj. œwiêtokrzyskie;2003;547;434;79,2;;;;;;;
woj. œwiêtokrzyskie;2002;588;484;82,2;;;;;;;
woj. œwiêtokrzyskie;2001;561;467;83,2;;;;;;;
woj. œwiêtokrzyskie;2000;606;508;83,6;;;;;;;
woj. œwiêtokrzyskie;1999;638;509;79,5;;;;;;;
woj. warmiñsko-mazurskie;2021;103;90;87,4;;;;;;;
woj. warmiñsko-mazurskie;2020;128;114;88,4;;;;;;;
woj. warmiñsko-mazurskie;2019;153;136;88,9;;;;;;;
woj. warmiñsko-mazurskie;2018;166;140;84,3;;;;;;;
woj. warmiñsko-mazurskie;2017;195;151;77,0;;;;;;;
woj. warmiñsko-mazurskie;2016;267;220;82,1;;;;;;;
woj. warmiñsko-mazurskie;2015;231;173;74,9;;;;;;;
woj. warmiñsko-mazurskie;2014;249;196;77,5;;;;;;;
woj. warmiñsko-mazurskie;2013;415;335;80,3;;;;;;;
woj. warmiñsko-mazurskie;2012;562;463;82,4;;;;;;;
woj. warmiñsko-mazurskie;2011;535;459;85,5;;;;;;;
woj. warmiñsko-mazurskie;2010;536;450;84,0;;;;;;;
woj. warmiñsko-mazurskie;2009;618;520;83,9;;;;;;;
woj. warmiñsko-mazurskie;2008;687;577;83,9;;;;;;;
